headline,article,date
EU regulator advises booster dose for those aged 18 and above,"The European Medicines Agency (EMA) on Monday gave its backing to booster shots of the Pfizer-BioNTech COVID-19 vaccine for people aged 18 and above. The European Union's drug regulator said that the booster shot ""may be considered at least 6 months after the second dose"". The EMA's recommendations will be sent to health authorities in all 27 EU nations.","04 Oct 2021,Monday"
"India-made drone delivers COVID-19 vaccines in Manipur, a first in South Asia","Health Minister Mansukh Mandaviya on Monday launched ICMR's Drone Response and Outreach in North East (i-Drone), a delivery model to transport life-saving vaccines. He said, for the first time a 'Make in India' drone has been used in South Asia to transport COVID-19 vaccines between two locations over an aerial distance of 15 km in 12-15 minutes in Manipur. ","04 Oct 2021,Monday"
"Delhi records 34 new COVID-19 cases, zero deaths in last 24 hours","Delhi reported 34 new COVID-19 cases and zero related deaths, according to data shared by the health department on Monday. With the new cases, Delhi's infection tally climbed to 14,39,000, while the case positivity rate stood at 0.10%. According to data, 1.82 crore vaccine doses have been administered in Delhi since the inoculation exercise started on January 16.","04 Oct 2021,Monday"
70% of India's adults have got first dose of COVID-19 vaccine: Health Minister,"Health Minister Mansukh Mandaviya on Monday announced that 70% of India's adult population has been administered the first dose of the COVID-19 vaccine. He tweeted, ""Under PM Narendra Modi, India is achieving new landmarks in the fight against the pandemic."" According to officials, 25% population has been administered both doses. Over 90 crore total doses have been administered so far.","04 Oct 2021,Monday"
Don't see COVID-19 third wave coming in Mumbai: BMC to High Court,"The Brihanmumbai Municipal Corporation (BMC) on Monday informed the Bombay High Court that the city is safe and the civic body doesn't see the third wave of COVID-19 coming. BMC added that vaccination against COVID-19 is going on smoothly and there is no shortage of vaccines now. As many as 2,586 bed-ridden people have been fully vaccinated, BMC added.","04 Oct 2021,Monday"
Comorbid children to be vaccinated for COVID-19 first: Govt official,"National Immunization Technical Advisory Group (NTAGI) chief Dr NK Arora on Sunday said children with comorbidities will be prioritised for COVID-19 vaccination when it begins in India. He added rest of the children who are healthy will be immunised subsequently. He said arrangements are also being made to provide these vaccines to children in their district to avoid their travel. 
","03 Oct 2021,Sunday"
"Zydus Cadila proposes ₹1,900 for three-dose COVID-19 vaccine: Report","Zydus Cadila has reportedly proposed a price of ₹1,900 for its three-dose COVID-19 vaccine ZyCoV-D that can be given to those above 12 years of age. The government is negotiating the price and a final decision is likely this week, PTI reported citing sources. The company also has a needle-free jet injector that can administer around 20,000 doses, reports said.","04 Oct 2021,Monday"
Covaxin not recognised by Germany so far: German Ambassador to India,"German Ambassador to India Walter J Lindner has said that Germany hasn't recognised Covaxin COVID-19 vaccine so far. He said that people who travel after being administered with Covaxin would have to undergo quarantine and get themselves tested in Germany. ""Once Covaxin is recognised by WHO, then we'll see whether we can recognise it,"" he added.","03 Oct 2021,Sunday"
New COVID-19 vaccines may be needed in 2022: BioNTech CEO,"German company BioNTech's CEO Uğur Şahin has said that a new vaccine formula will likely be needed by mid-2022 to protect against future virus mutations. He told the Financial Times that the current variants, such as the delta strain, weren't different enough to undermine current vaccinations. He predicted that new strains will emerge that can evade booster shots.","03 Oct 2021,Sunday"
BBMP begins data collection for probable COVID-19 vaccination for kids,"The BBMP has started collecting data in anticipation of a COVID-19 vaccine rollout for children aged 12-18 years. As per BBMP Chief Commissioner Gaurav Gupta, the data is being collected to analyse whether vaccination for children can be carried out at PHCs or on a ward-to-ward basis. He added, officials will also mark households with children during block-level vaccination drives.  
","03 Oct 2021,Sunday"
Mumbai's Mumba Devi Temple to reopen for devotees from October 7,"The Mumba Devi Temple in Mumbai will reopen for devotees who have received both doses of the COVID-19 vaccine from October 7, the first day of the Navratri festival. A negative COVID-19 test report is a must for those who are not fully vaccinated. Flowers, garlands and prasad will not be allowed in the temple.


","03 Oct 2021,Sunday"
47% of Pune population vaccinated against COVID with 1.05 cr doses administered,"Around 1.05 crore COVID-19 vaccine doses have been administered and 47% of the population has been vaccinated against coronavirus in the Pune district since the immunisation programme started in January 2021. With almost 25 lakh doses administered, September saw the highest number of vaccinations as compared to 18.78 lakh people inoculated in August. ","03 Oct 2021,Sunday"
Nigeria gets $400 mn from World Bank to buy & deploy COVID vaccines,"The World Bank has approved $400 million of additional funds for Nigeria to help procure and deploy COVID-19 vaccinations. This will help Nigeria purchase vaccines for 40 million people, about 18% of its population, and support vaccine deployment to 110 million people, World Bank said. Nigeria has administered nearly seven million vaccine doses to its 200 million citizens so far. ","02 Oct 2021,Saturday"
India has administered 90 crore COVID-19 vaccine doses: Mandaviya,"Union Health Minister Mansukh Mandaviya on Saturday said India has administered 90 crore doses of COVID-19 vaccines since the vaccination drive started in mid-January. As per the Co-WIN dashboard, 90,10,04,270 doses have been administered. India's vaccination drive was ramped up through the availability of more vaccines and by streamlining vaccine supply chain, the Health Ministry said earlier. ","02 Oct 2021,Saturday"
"I took India's Covishield, majority of nations received it: UNGA President","Abdulla Shahid, President of 76th session of UN General Assembly, was asked whether any COVID-19 vaccine should be recognised and considered or the ones that have been validated by WHO or any other group. ""I got Covishield from India...I don't know how many countries would say that Covishield is acceptable or not, but...large portion of countries got Covishield,"" he added.","02 Oct 2021,Saturday"
Working with India on vaccine certificates: UK after India's reciprocal quarantine move,"The UK has said it is working with India on technical cooperation to expand its recognition of COVID-19 vaccine certification to people vaccinated by a relevant public health body in India. This comes after India said that all travellers from the UK will have to quarantine for 10 days after arriving in India, irrespective of their COVID-19 vaccination status.","02 Oct 2021,Saturday"
COVAX to send COVID vaccines to only least covered nations in Oct,"The WHO said that COVAX, a global scheme designed to ensure fair access to COVID-19 vaccines, will this month for the first time distribute shots only to nations with the lowest levels of coverage. COVAX had earlier allotted doses proportionally among its 140-plus beneficiary states. The WHO had earlier called for a moratorium on booster shots to reduce vaccine inequality.","01 Oct 2021,Friday"
US administers over 39 crore doses of COVID-19 vaccines,"US Centers for Disease Control and Prevention (CDC) said that the US has administered over 39 crore COVID-19 vaccine doses in the country as of Thursday morning. Over 21.4 crore people have received at least one dose, while more than 18.4 crore are fully vaccinated, CDC added. Over 40 lakh people have also received a third dose since August 13.","01 Oct 2021,Friday"
Over 1 lakh people in Mumbai get COVID vaccines for 4th consecutive day,"Over one lakh beneficiaries were given COVID-19 vaccines for the fourth consecutive day in Mumbai, Brihanmumbai Municipal Corporation (BMC) said. As many as 1,46,175 beneficiaries were vaccinated at 464 COVID-19 vaccination centres in the last 24 hours out of which 1,09,613 were given vaccines at civic-run centres. Around 1.23 crore beneficiaries have been given COVID-19 vaccines in Mumbai so far.","01 Oct 2021,Friday"
Australia recognises Covishield COVID-19 vaccine ahead of border reopening,"Australia has recognised India-made Covishield COVID-19 vaccine and China's CoronaVac ahead of border reopening from November. The nation's top drugs regulator, the Therapeutic Goods Administration, said the shots should be ""recognised vaccines"" in determining incoming travellers as being inoculated, Prime Minister Scott Morrison said on Friday. Earlier, Italy recognised Covishield vaccine.","01 Oct 2021,Friday"
ZyCoV-D to be part of India's COVID-19 vaccination drive soon: Govt,"Zydus Cadila's needle-free COVID-19 vaccine ZyCoV-D will be introduced in the national vaccination programme very shortly, Union Health Secretary Rajesh Bhushan said on Thursday. The three-dose vaccine will be priced differently than the vaccines being used currently, he added. The vaccine has received emergency use authorisation for being administered to people aged between 12 and 18 years.","30 Sep 2021,Thursday"
1 in 4 persons eligible for COVID-19 vaccine shot fully vaccinated in India,"According to government data, every one in four persons eligible for COVID-19 vaccine in India has been fully vaccinated. ""India's persistence and determination [are] creating ripples across the global vaccination campaign. 1/4th of the eligible population, a phenomenal 23.7 crore people, is fully vaccinated against COVID-19,"" Health Minister Mansukh Mandaviya tweeted on Thursday.","30 Sep 2021,Thursday"
YouTube to remove misinformation videos about COVID-19 vaccines,"YouTube on Wednesday said that it will remove videos that spread misinformation about COVID-19 vaccines. The company said it will take down content that contains misinformation such as claiming any approved vaccine is dangerous, causes chronic health defects or doesn't reduce spread of disease. YouTube added that it has removed over 1.3 lakh videos that violated its COVID-19 vaccine policies.","29 Sep 2021,Wednesday"
World leaders thank India for COVID-19 vaccine shipments at UNGA,"While addressing the UN General Assembly session this year, world leaders thanked India for its help and support in combating the COVID-19 pandemic through ""early and meaningful"" shipments of vaccine doses. Suriname's President Chandrikapersad Santokhi thanked India for its support in the battle against COVID-19. Nigeria's President Muhammadu Buhari also thanked India for the vaccines provided.","29 Sep 2021,Wednesday"
Thane man given anti-rabies shot instead of COVID-19 vaccine,"A man was mistakenly administered an anti-rabies vaccine instead of a COVID-19 vaccine in Maharashtra's Thane city, officials said. Rajkumar Yadav stood in the wrong queue and was later informed that he was administered the anti-rabies vaccine. Thane Municipal Corporation acknowledged the goof up and suspended a doctor and a nurse at the centre, while adding that Yadav is stable.","29 Sep 2021,Wednesday"
Ananya becomes youngest Indian celeb to speak at Global Citizen concert,"Bollywood actress Ananya Panday became the youngest Indian celebrity to participate in the Global Citizen concert which took place on September 26. At the event, Ananya spoke about climate change leading to the extinction of species and extreme poverty. The 24-hour music festival invited world leaders, philanthropists, and corporations to act against climate change and advance vaccine equity. ","28 Sep 2021,Tuesday"
France's Sanofi stops work on its mRNA COVID-19 vaccine,French pharmaceutical company Sanofi said that it's stopping work on a messenger-RNA (mRNA) vaccine against COVID-19 as vaccines produced by its rivals using the same technology are widely available. The announcement comes despite previously announcing positive results from phase one and phase two trials of the vaccine. Sanofi further said that it would instead focus on another type of shot.,"28 Sep 2021,Tuesday"
Serum Institute gets nod to enrol 7-11-year-olds in COVID-19 vaccine trial: Report,"India's drug regulator has allowed Covishield maker Serum Institute of India (SII) to enrol children aged between seven to 11 years for its COVID-19 vaccine trial, Reuters reported. The Central Drugs Standard Control Organisation's (CDSCO) subject expert panel made the recommendation after ""detailed deliberation"". SII is already conducting a trial of its COVID-19 vaccine in the 12-17 age group.","28 Sep 2021,Tuesday"
WHO's approval of Covaxin delayed further over technical queries: Report,"The WHO's emergency use authorisation (EUA) for Bharat Biotech's COVID-19 vaccine Covaxin has reportedly been delayed by a few weeks as the agency sent more technical queries to the vaccine maker. ""It's the usual process,"" a WHO official was quoted as saying. The delay is likely to affect students, medical tourists, business travellers and those who want to travel abroad. ","28 Sep 2021,Tuesday"
"New York hospitals fire, suspend staff who refuse COVID-19 vaccine","New York hospitals on Monday began firing or suspending healthcare workers for defying a state order to get COVID-19 vaccine, resulting in staff shortages. Some hospitals were forced to postpone elective surgeries or curtail services. Last month, New York's State Health Department had issued an order mandating all healthcare workers get at least one COVID-19 vaccine dose by September 27. ","28 Sep 2021,Tuesday"
Man attacks doctor with axe for not letting him jump vaccine queue in Maha,"A 32-year-old man was arrested on Monday for allegedly attacking a doctor with an axe for not letting him jump the queue for coronavirus vaccination in Maharashtra's Yavatmal, police said. The doctor was able to avoid getting hurt by stepping back, an official said. The doctor had told the accused to get registered for the vaccination first, the official added.","28 Sep 2021,Tuesday"
"Biden receives COVID-19 booster, urges Americans to get vaccinated","US President Joe Biden on Monday received a COVID-19 booster shot and urged more Americans to get vaccinated. Last week, US authorized Pfizer-BioNTech booster shot for high-risk adults, those aged 65 and above, and others who are regularly exposed to the virus. Earlier, WHO had urged countries to hold off on booster shots until 2022 to reduce global vaccine inequality. ","28 Sep 2021,Tuesday"
US Prez Biden to get COVID-19 booster shot on Monday: White House,"US President Joe Biden will receive a COVID-19 vaccine booster shot on Monday, the White House said. The announcement comes after the US Centers for Disease Control and Prevention (CDC) last week approved the booster dose for vulnerable sections of the population. About six crore people in the US are eligible for a booster shot, Biden had said last week.","27 Sep 2021,Monday"
Punch to Corona: Health Min as India records 1cr+ vaccinations for 5th time,"India on Monday recorded over one crore COVID-19 vaccinations for the fifth time, informed Health Minister Mansukh Mandaviya. ""Under PM Narendra Modi ji, India delivers a punch to Corona,"" Mandaviya tweeted. Meanwhile, the cumulative number of COVID-19 vaccine doses administered in the country crossed 86 crore on Monday, the Union health ministry said.","27 Sep 2021,Monday"
Jordan's Crown Prince tests +ve for COVID-19,"Jordan's Crown Prince Al Hussein bin Abdullah II has tested positive for coronavirus, the Royal Court said in a statement on Monday. ""His Highness Prince Hussein, who had received the vaccine against...coronavirus, showed mild symptoms and is in very good health,"" it added. His parents King Abdullah II and Queen Rania, who tested negative, will self-isolate for five days.","27 Sep 2021,Monday"
France to double COVID-19 vaccine doses donated to 120 mn: Prez,"French President Emmanuel Macron announced on Sunday in a video message that the country will be doubling the number of coronavirus vaccine doses it donates to other countries to 120 million. ""The injustice is that in other continents vaccination is far behind because of us, collectively,"" he said. He also noted that only 3% of Africa's population is vaccinated.","27 Sep 2021,Monday"
BMC to hold special COVID vaccination drive for women in Mumbai tomorrow,"The Mumbai civic body will hold a special drive to vaccinate women against COVID-19 at civic and government centres from 10.30 am to 6.30 pm on Monday. The Brihanmumbai Municipal Corporation will also run a special drive for teachers and students. The decision was taken to reduce gender disparity in the vaccination process and curb vaccine hesitancy among women.


","26 Sep 2021,Sunday"
MP man demands PM Modi’s presence for taking 1st COVID-19 vaccine dose,"A man in a village in Madhya Pradesh, hesitant to take the COVID-19 vaccine, said he will take the first dose in the presence of PM Narendra Modi. As per an official, the man and his wife are the only two people left unvaccinated in the village and attempts will be made to convince him for the vaccination once again.","26 Sep 2021,Sunday"
